DTLB TOTAL_MPKI,L1D Accuracy,L1I TOTAL_MPKI,IPC,ITLB TOTAL_MPKI,File,LLC TOTAL_MPKI,L2C Accuracy,L2C TOTAL_MPKI,LLC Accuracy,STLB TOTAL_MPKI,L1D TOTAL_MPKI
10.1944,6.66667,57.2194,0.313735,11.2719,srv_15.txt,0.00767,150,4.93109,0,0.14378,27.4173
4.48231,9.48503,22.7763,0.444802,4.21701,srv_55.txt,1.70776,3.18054,13.2133,5.03979,0.566975,12.3024
7.65502,19.246,45.5273,0.498786,7.69155,srv_35.txt,31.1947,10.2206,32.934,2.18118,0.39098,33.89
4.59447,74.5387,14.7161,0.665404,4.94399,server_002.txt,0.254745,77.1429,0.37826,10.3448,0.006965,0.348975
7.61899,51.6334,45.2671,0.505611,7.68371,srv_75.txt,31.6959,6.41111,33.1955,0.149381,0.37604,34.2438
7.58124,15.2471,45.5907,0.504948,7.71449,srv_33.txt,31.5144,5.27344,32.8971,17.1322,0.36786,33.8431
8.03445,1.14155,42.2897,0.440491,7.08015,server_018.txt,29.992,4.6478,32.6096,0.907441,0.735,33.0373
10.1357,-,56.6031,0.306186,11.1386,server_030.txt,0.087915,-,5.761,-,0.145005,28.2524
6.23241,30.9013,12.2391,0.520407,2.47523,client_006.txt,4.75031,31.1688,8.64227,0,0.45452,13.4578
5.9109,9.45946,77.1558,0.522108,10.7736,server_039.txt,0.01241,5.26316,0.012755,0,0.00135,0.975005
4.91515,83.6638,23.6948,0.43641,4.43053,srv_41.txt,1.58158,0.619195,12.7102,0,0.50559,11.7868
43.4561,1.43657,17.2319,0.342314,2.75163,srv_1.txt,1.0038,4.63714,13.5151,1.96078,1.6294,61.0951
9.05888,11.6817,42.1922,0.337883,8.228,srv_43.txt,0.374855,2.52028,15.4391,0,0.591815,22.561
9.1296,0,52.8824,0.313879,10.1247,server_027.txt,0.397875,10000,6.17723,50,0.04091,19.5855
19.3407,44.3118,23.6858,0.406612,3.7471,server_010.txt,1.18724,6.93196,17.9284,0,2.21437,22.8407
12.5099,52.4838,25.2905,0.429573,4.0271,server_012.txt,1.23063,37.415,18.6525,5.43478,2.28046,12.4495
9.1824,25.2903,52.6387,0.313076,10.0561,server_026.txt,0.265605,1.514,7.34526,0,0.03959,20.8465
9.11517,11.1111,53.0722,0.313016,10.1705,srv_21.txt,0.054835,2023.53,7.1855,8.33333,0.044655,19.7606
,,,,,client_004.txt,,,,,,
8.96792,15.9807,48.2042,0.336631,9.19062,srv_13.txt,0.174165,3.14837,7.25354,1.44928,0.04685,19.5855
7.6686,83.2897,45.3811,0.496773,7.6628,srv_37.txt,31.5059,13.2075,32.9437,0,0.40779,33.8386
8.44604,4.62428,42.4987,0.302222,8.20544,srv_52.txt,1.62403,42.8571,20.741,0.571429,0.72826,20.3942
12.9709,16.3429,25.7415,0.452027,3.89372,srv_2.txt,1.63189,5.54653,15.432,0.662252,1.67047,12.3195
7.45199,23.3958,45.0051,0.505657,7.62068,srv_38.txt,31.4756,0.189502,32.9655,0.144791,0.36983,34.0356
9.95289,15.2687,61.1451,0.300265,12.1539,srv_24.txt,0.004435,1.58451,2.84564,0,0.006025,22.3822
6.85429,8.2325,36.8761,0.38198,7.05104,server_016.txt,0.463955,3.39791,5.30729,5.89744,0.038835,15.1336
