IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.313646,6.20517,52.8824,19.5855,10.1247,9.1296,0.04091,0.564385,server_027.txt
0.406053,17.9744,23.6858,22.7593,3.7471,19.3398,2.21441,1.65003,server_010.txt
0.429559,18.6743,25.2905,12.4482,4.0271,12.5093,2.28049,1.6702,server_012.txt
0.312915,7.2626,52.6387,20.4318,10.0561,9.18223,0.03959,0.492125,server_026.txt
0.312521,7.24138,53.0722,19.7605,10.1705,9.11515,0.044655,0.2308,srv_21.txt
,,,,,,,,client_004.txt
0.336321,7.14245,48.2042,19.0695,9.19062,8.96802,0.046755,0.453315,srv_13.txt
0.512926,33.1171,45.3811,33.8338,7.6628,7.67205,0.40758,35.1198,srv_37.txt
0.300427,20.7668,42.4987,20.3921,8.20544,8.44609,0.72824,2.37639,srv_52.txt
0.452835,15.4367,25.7414,12.2561,3.89372,12.9719,1.67054,2.13448,srv_2.txt
0.521638,32.9879,45.0051,33.8946,7.62068,7.45542,0.369875,34.799,srv_38.txt
0.300244,2.80507,61.1451,22.0754,12.1539,9.95289,0.006025,0.022195,srv_24.txt
0.381766,5.22952,36.8761,14.7253,7.05104,6.85429,0.038835,0.65877,server_016.txt
