IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.453482,16.4997,23.8504,11.7007,3.67856,11.9477,1.89024,1.54311,srv_68.txt
0.420969,18.5912,25.2938,12.2562,4.07732,12.3113,2.26592,1.52313,srv_69.txt
0.438037,17.6974,25.4658,12.3819,4.09023,11.8307,2.1283,1.58797,srv_7.txt
0.333275,7.96585,48.5513,19.7309,9.27945,8.97363,0.04989,0.156685,srv_70.txt
0.306798,4.98428,57.4395,29.1154,11.3581,10.2909,0.14427,0.044195,srv_71.txt
0.301276,3.45929,60.6235,22.0154,12.0737,9.85395,0.00614,0.005985,srv_72.txt
0.304769,7.26977,56.0951,27.7687,11.0678,10.6445,0.32222,0.509975,srv_73.txt
0.310647,8.26333,53.3605,20.0292,10.2471,9.22629,0.04628,0.052465,srv_74.txt
0.540352,33.96,45.2671,34.3882,7.68371,7.61838,0.379215,31.686,srv_75.txt
0.534174,34.0115,45.2552,34.4262,7.65623,7.64147,0.39237,31.808,srv_76.txt
0.58857,9.55775,11.0312,8.41411,2.29306,6.83669,0.760045,3.97123,srv_8.txt
0.378327,8.3961,3.46254,65.6343,0.70056,42.6461,0.49199,7.1288,srv_9.txt
